Job_Title,Job_Role,Company,Location,Job_Description,User_Skills,Job_Requirements,Experience,Salary_Range,Rating
Scrum Master,Scrum Master,Paytm,Remote,Facilitate agile ceremonies. Remove impediments for the team. Coach teams on agile practices. Track sprint progress.,"Agile, Scrum, Jira, Confluence, Kanban, Communication, Leadership, Risk Management","Agile, Scrum, Jira, Confluence, Kanban, Communication, Leadership, Risk Management",2-5 years,10-18 LPA,4.8
iOS Developer,iOS Developer,Accenture,Bangalore,Build native iOS applications using Swift. Work with Xcode and Apple frameworks. Follow App Store guidelines. Integrate backend services.,"Swift, Objective-C, Xcode, UIKit, SwiftUI, REST API, CoreData, Git, Firebase","Swift, Objective-C, Xcode, UIKit, SwiftUI, REST API, CoreData, Git, Firebase",2-4 years,8-16 LPA,3.6
Web Designer,Web Designer,Paytm,Chennai,"Design visually appealing websites. Work with HTML, CSS, and JavaScript. Ensure responsive design. Collaborate with marketing teams.","HTML, CSS, JavaScript, Figma, Adobe Creative Suite, Bootstrap, WordPress","HTML, CSS, JavaScript, Figma, Adobe Creative Suite, Bootstrap, WordPress",1-3 years,4-8 LPA,4.7
Product Manager,Product Manager,Accenture,Mumbai,Define product vision and roadmap. Work with engineering and design teams. Analyze market and user data. Prioritize features.,"Product Roadmap, Agile, Scrum, SQL, Analytics, User Research, Communication, Jira","Product Roadmap, Agile, Scrum, SQL, Analytics, User Research, Communication, Jira",3-6 years,15-28 LPA,4.9
Android Developer,Android Developer,Accenture,Chennai,Build native Android applications. Work with Kotlin and Java. Integrate APIs and local databases. Follow Material Design guidelines.,"Kotlin, Java, Android SDK, REST API, SQLite, Firebase, Git, MVVM, Jetpack","Kotlin, Java, Android SDK, REST API, SQLite, Firebase, Git, MVVM, Jetpack",1-3 years,6-12 LPA,3.8
Data Scientist,Data Scientist,Paytm,Remote,"Analyze large datasets to extract insights. Build predictive models using machine learning. Work with Python, R, and SQL to process data. Communicate findings to stakeholders.","Python, R, SQL, Machine Learning, TensorFlow, Keras, Pandas, NumPy, Data Visualization, Statistics","Python, R, SQL, Machine Learning, TensorFlow, Keras, Pandas, NumPy, Data Visualization, Statistics",2-4 years,8-15 LPA,4.0
Automation Test Engineer,Automation Test Engineer,Freshworks,Remote,Build and maintain test automation frameworks. Write scripts for regression testing. Integrate tests into CI/CD pipelines.,"Selenium, Python, Java, Jenkins, CI/CD, Cucumber, REST API, Postman, Git","Selenium, Python, Java, Jenkins, CI/CD, Cucumber, REST API, Postman, Git",2-4 years,7-13 LPA,4.5
iOS Developer,iOS Developer,Freshworks,Chennai,Build native iOS applications using Swift. Work with Xcode and Apple frameworks. Follow App Store guidelines. Integrate backend services.,"Swift, Objective-C, Xcode, UIKit, SwiftUI, REST API, CoreData, Git, Firebase","Swift, Objective-C, Xcode, UIKit, SwiftUI, REST API, CoreData, Git, Firebase",2-4 years,8-16 LPA,3.3
Site Reliability Engineer,Site Reliability Engineer,Freshworks,Chennai,Ensure reliability and performance of production systems. Automate operations. Define SLOs and SLAs. Respond to incidents.,"Linux, Python, Go, Kubernetes, Prometheus, Grafana, CI/CD, AWS, Incident Management","Linux, Python, Go, Kubernetes, Prometheus, Grafana, CI/CD, AWS, Incident Management",3-6 years,14-24 LPA,3.8
IoT Engineer,IoT Engineer,InfoSys,Pune,"Design and build IoT systems. Work with sensors, actuators, and cloud platforms. Develop firmware and backend services. Ensure connectivity.","Python, C, MQTT, IoT, AWS IoT, Raspberry Pi, Arduino, Linux, Cloud, REST API","Python, C, MQTT, IoT, AWS IoT, Raspberry Pi, Arduino, Linux, Cloud, REST API",2-5 years,8-16 LPA,3.8
AI Product Manager,AI Product Manager,Accenture,Kolkata,Define AI product roadmap. Work with ML teams. Identify AI use cases. Translate business needs into technical requirements.,"Product Management, AI/ML Knowledge, SQL, Analytics, Communication, Agile, Jira","Product Management, AI/ML Knowledge, SQL, Analytics, Communication, Agile, Jira",4-7 years,18-30 LPA,3.4
Product Manager,Product Manager,Amazon,Noida,Define product vision and roadmap. Work with engineering and design teams. Analyze market and user data. Prioritize features.,"Product Roadmap, Agile, Scrum, SQL, Analytics, User Research, Communication, Jira","Product Roadmap, Agile, Scrum, SQL, Analytics, User Research, Communication, Jira",3-6 years,15-28 LPA,3.4
AI Product Manager,AI Product Manager,BYJU's,Remote,Define AI product roadmap. Work with ML teams. Identify AI use cases. Translate business needs into technical requirements.,"Product Management, AI/ML Knowledge, SQL, Analytics, Communication, Agile, Jira","Product Management, AI/ML Knowledge, SQL, Analytics, Communication, Agile, Jira",4-7 years,18-30 LPA,3.4
Cybersecurity Analyst,Cybersecurity Analyst,Google India,Bangalore,Monitor networks for security threats. Investigate incidents and vulnerabilities. Implement security policies and procedures. Conduct security audits.,"Network Security, SIEM, Firewalls, IDS/IPS, Vulnerability Assessment, Python, Linux, CISSP","Network Security, SIEM, Firewalls, IDS/IPS, Vulnerability Assessment, Python, Linux, CISSP",2-4 years,8-15 LPA,4.8
Ethical Hacker,Ethical Hacker,Zoho,Remote,Perform penetration testing on systems and applications. Identify and report security vulnerabilities. Work with dev teams to patch issues.,"Penetration Testing, Kali Linux, Metasploit, Burp Suite, Python, Networking, OWASP","Penetration Testing, Kali Linux, Metasploit, Burp Suite, Python, Networking, OWASP",2-5 years,10-18 LPA,4.3
Ethical Hacker,Ethical Hacker,Amazon,Mumbai,Perform penetration testing on systems and applications. Identify and report security vulnerabilities. Work with dev teams to patch issues.,"Penetration Testing, Kali Linux, Metasploit, Burp Suite, Python, Networking, OWASP","Penetration Testing, Kali Linux, Metasploit, Burp Suite, Python, Networking, OWASP",2-5 years,10-18 LPA,4.1
AI Research Scientist,AI Research Scientist,Google India,Pune,Conduct research in deep learning and NLP. Publish papers and implement novel algorithms. Work on cutting-edge AI problems.,"Python, PyTorch, TensorFlow, NLP, Computer Vision, Research, Mathematics, CUDA","Python, PyTorch, TensorFlow, NLP, Computer Vision, Research, Mathematics, CUDA",3-6 years,20-35 LPA,4.6
Data Analyst,Data Analyst,Zoho,Delhi,Collect and interpret data to identify trends. Create dashboards and reports. Work with business teams to define KPIs. Use SQL and Excel for analysis.,"SQL, Excel, Power BI, Tableau, Python, Data Cleaning, Statistics, Google Analytics","SQL, Excel, Power BI, Tableau, Python, Data Cleaning, Statistics, Google Analytics",0-2 years,4-8 LPA,3.3
Mobile App Developer,Mobile App Developer,Google India,Kolkata,Develop Android and iOS mobile applications. Work with React Native or Flutter. Integrate with backend APIs. Publish apps to stores.,"React Native, Flutter, Android, iOS, JavaScript, Dart, REST API, Git, Firebase","React Native, Flutter, Android, iOS, JavaScript, Dart, REST API, Git, Firebase",2-4 years,8-15 LPA,4.2
IoT Engineer,IoT Engineer,Zomato,Kolkata,"Design and build IoT systems. Work with sensors, actuators, and cloud platforms. Develop firmware and backend services. Ensure connectivity.","Python, C, MQTT, IoT, AWS IoT, Raspberry Pi, Arduino, Linux, Cloud, REST API","Python, C, MQTT, IoT, AWS IoT, Raspberry Pi, Arduino, Linux, Cloud, REST API",2-5 years,8-16 LPA,4.1
Security Engineer,Security Engineer,Accenture,Bangalore,Design and implement security systems. Conduct threat modeling. Develop security tools and scripts. Respond to security incidents.,"Python, AWS Security, IAM, Cryptography, Linux, Firewalls, DevSecOps, SIEM","Python, AWS Security, IAM, Cryptography, Linux, Firewalls, DevSecOps, SIEM",3-6 years,14-24 LPA,4.6
Security Engineer,Security Engineer,Zomato,Hyderabad,Design and implement security systems. Conduct threat modeling. Develop security tools and scripts. Respond to security incidents.,"Python, AWS Security, IAM, Cryptography, Linux, Firewalls, DevSecOps, SIEM","Python, AWS Security, IAM, Cryptography, Linux, Firewalls, DevSecOps, SIEM",3-6 years,14-24 LPA,3.3
DevOps Engineer,DevOps Engineer,Accenture,Mumbai,Manage CI/CD pipelines. Automate infrastructure using IaC. Monitor systems and ensure uptime. Collaborate with development teams.,"Docker, Kubernetes, Jenkins, AWS, Terraform, Ansible, Linux, Git, CI/CD, Python","Docker, Kubernetes, Jenkins, AWS, Terraform, Ansible, Linux, Git, CI/CD, Python",2-5 years,10-18 LPA,3.1
IoT Engineer,IoT Engineer,Accenture,Mumbai,"Design and build IoT systems. Work with sensors, actuators, and cloud platforms. Develop firmware and backend services. Ensure connectivity.","Python, C, MQTT, IoT, AWS IoT, Raspberry Pi, Arduino, Linux, Cloud, REST API","Python, C, MQTT, IoT, AWS IoT, Raspberry Pi, Arduino, Linux, Cloud, REST API",2-5 years,8-16 LPA,4.9
Healthcare Data Analyst,Healthcare Data Analyst,Flipkart,Mumbai,Analyze patient and clinical data. Build dashboards for healthcare KPIs. Ensure data compliance and privacy. Support clinical research.,"SQL, Python, R, Tableau, Healthcare Analytics, HIPAA, Excel, Statistics","SQL, Python, R, Tableau, Healthcare Analytics, HIPAA, Excel, Statistics",2-4 years,7-13 LPA,3.4
Data Engineer,Data Engineer,BYJU's,Chennai,Build and maintain data pipelines. Design data warehouses. Work with big data technologies. Ensure data quality and reliability.,"Python, Spark, Hadoop, SQL, Airflow, Kafka, AWS, GCP, ETL, Scala","Python, Spark, Hadoop, SQL, Airflow, Kafka, AWS, GCP, ETL, Scala",2-4 years,10-16 LPA,4.9
Embedded Systems Engineer,Embedded Systems Engineer,Flipkart,Bangalore,Develop firmware for embedded devices. Work with microcontrollers and real-time OS. Debug hardware issues. Write low-level C code.,"C, C++, Embedded C, RTOS, Microcontrollers, Python, Linux, Git, IoT","C, C++, Embedded C, RTOS, Microcontrollers, Python, Linux, Git, IoT",2-5 years,8-16 LPA,4.4
Data Science Manager,Data Science Manager,Freshworks,Bangalore,Lead a team of data scientists. Define data strategy. Oversee model development and deployment. Present insights to executives.,"Python, Machine Learning, Leadership, SQL, Communication, Strategy, Statistics, Tableau","Python, Machine Learning, Leadership, SQL, Communication, Strategy, Statistics, Tableau",6-10 years,25-45 LPA,4.8
Scrum Master,Scrum Master,InfoSys,Delhi,Facilitate agile ceremonies. Remove impediments for the team. Coach teams on agile practices. Track sprint progress.,"Agile, Scrum, Jira, Confluence, Kanban, Communication, Leadership, Risk Management","Agile, Scrum, Jira, Confluence, Kanban, Communication, Leadership, Risk Management",2-5 years,10-18 LPA,4.7
DevOps Engineer,DevOps Engineer,InfoSys,Noida,Manage CI/CD pipelines. Automate infrastructure using IaC. Monitor systems and ensure uptime. Collaborate with development teams.,"Docker, Kubernetes, Jenkins, AWS, Terraform, Ansible, Linux, Git, CI/CD, Python","Docker, Kubernetes, Jenkins, AWS, Terraform, Ansible, Linux, Git, CI/CD, Python",2-5 years,10-18 LPA,3.4
Quantitative Analyst,Quantitative Analyst,Zoho,Delhi,Develop statistical models for financial data. Analyze market trends and patterns. Build risk models and trading algorithms.,"Python, R, Statistics, Machine Learning, SQL, Excel, Financial Modeling, Pandas","Python, R, Statistics, Machine Learning, SQL, Excel, Financial Modeling, Pandas",2-4 years,15-25 LPA,3.6
Digital Marketing Analyst,Digital Marketing Analyst,Zomato,Remote,Analyze campaign performance data. Optimize SEO and SEM strategies. Build dashboards for marketing metrics. A/B test campaigns.,"Google Analytics, SQL, Excel, SEO, SEM, Python, Tableau, Social Media Analytics","Google Analytics, SQL, Excel, SEO, SEM, Python, Tableau, Social Media Analytics",1-3 years,5-10 LPA,4.7
UI/UX Designer,UI/UX Designer,Google India,Noida,Design intuitive user interfaces and experiences. Create wireframes and prototypes. Conduct user research. Collaborate with developers.,"Figma, Adobe XD, Sketch, Prototyping, Wireframing, User Research, HTML, CSS","Figma, Adobe XD, Sketch, Prototyping, Wireframing, User Research, HTML, CSS",1-3 years,5-10 LPA,4.1
Quantitative Analyst,Quantitative Analyst,Amazon,Hyderabad,Develop statistical models for financial data. Analyze market trends and patterns. Build risk models and trading algorithms.,"Python, R, Statistics, Machine Learning, SQL, Excel, Financial Modeling, Pandas","Python, R, Statistics, Machine Learning, SQL, Excel, Financial Modeling, Pandas",2-4 years,15-25 LPA,3.9
Business Intelligence Analyst,Business Intelligence Analyst,InfoSys,Pune,Build BI dashboards. Analyze business performance data. Create automated reports. Work with stakeholders to understand data needs.,"Tableau, Power BI, SQL, Excel, Python, Data Modeling, ETL, SSRS","Tableau, Power BI, SQL, Excel, Python, Data Modeling, ETL, SSRS",1-3 years,6-12 LPA,3.7
Growth Hacker,Growth Hacker,InfoSys,Noida,Drive user acquisition and retention. Run experiments and A/B tests. Analyze funnel metrics. Work with product and marketing teams.,"Python, SQL, Analytics, A/B Testing, SEO, Email Marketing, Excel, Communication","Python, SQL, Analytics, A/B Testing, SEO, Email Marketing, Excel, Communication",2-4 years,8-14 LPA,4.5
Database Developer,Database Developer,Accenture,Chennai,Design and develop database schemas. Write complex queries and stored procedures. Optimize query performance. Work with application teams.,"SQL, PL/SQL, MySQL, PostgreSQL, MongoDB, Query Optimization, ETL, Python","SQL, PL/SQL, MySQL, PostgreSQL, MongoDB, Query Optimization, ETL, Python",2-4 years,7-12 LPA,4.2
AWS Solutions Architect,AWS Solutions Architect,Freshworks,Hyderabad,Design scalable cloud architectures on AWS. Lead cloud migrations. Define best practices. Provide technical guidance to teams.,"AWS, EC2, S3, Lambda, RDS, VPC, CloudFormation, Docker, Python, Linux","AWS, EC2, S3, Lambda, RDS, VPC, CloudFormation, Docker, Python, Linux",4-7 years,18-30 LPA,3.8
Cloud Engineer,Cloud Engineer,Zomato,Mumbai,Design and manage cloud infrastructure. Migrate on-premise systems to cloud. Optimize cloud costs. Ensure security and compliance.,"AWS, Azure, GCP, Terraform, Docker, Kubernetes, Python, Linux, Security","AWS, Azure, GCP, Terraform, Docker, Kubernetes, Python, Linux, Security",2-5 years,12-20 LPA,4.6
Automation Test Engineer,Automation Test Engineer,TechCorp,Delhi,Build and maintain test automation frameworks. Write scripts for regression testing. Integrate tests into CI/CD pipelines.,"Selenium, Python, Java, Jenkins, CI/CD, Cucumber, REST API, Postman, Git","Selenium, Python, Java, Jenkins, CI/CD, Cucumber, REST API, Postman, Git",2-4 years,7-13 LPA,4.0
Frontend Developer,Frontend Developer,InfoSys,Pune,Build responsive and interactive web interfaces. Work with modern JavaScript frameworks. Optimize performance. Ensure cross-browser compatibility.,"JavaScript, React, Angular, Vue.js, HTML5, CSS3, TypeScript, Git, Webpack","JavaScript, React, Angular, Vue.js, HTML5, CSS3, TypeScript, Git, Webpack",1-3 years,6-12 LPA,3.9
MLOps Engineer,MLOps Engineer,Microsoft India,Pune,Manage ML model lifecycle. Automate training and deployment pipelines. Monitor model performance in production. Maintain infrastructure.,"Python, Docker, Kubernetes, CI/CD, MLflow, Airflow, AWS SageMaker, Terraform","Python, Docker, Kubernetes, CI/CD, MLflow, Airflow, AWS SageMaker, Terraform",3-5 years,14-22 LPA,3.9
Quantitative Analyst,Quantitative Analyst,TCS,Delhi,Develop statistical models for financial data. Analyze market trends and patterns. Build risk models and trading algorithms.,"Python, R, Statistics, Machine Learning, SQL, Excel, Financial Modeling, Pandas","Python, R, Statistics, Machine Learning, SQL, Excel, Financial Modeling, Pandas",2-4 years,15-25 LPA,4.9
Product Manager,Product Manager,Amazon,Mumbai,Define product vision and roadmap. Work with engineering and design teams. Analyze market and user data. Prioritize features.,"Product Roadmap, Agile, Scrum, SQL, Analytics, User Research, Communication, Jira","Product Roadmap, Agile, Scrum, SQL, Analytics, User Research, Communication, Jira",3-6 years,15-28 LPA,3.9
Frontend Developer,Frontend Developer,Microsoft India,Chennai,Build responsive and interactive web interfaces. Work with modern JavaScript frameworks. Optimize performance. Ensure cross-browser compatibility.,"JavaScript, React, Angular, Vue.js, HTML5, CSS3, TypeScript, Git, Webpack","JavaScript, React, Angular, Vue.js, HTML5, CSS3, TypeScript, Git, Webpack",1-3 years,6-12 LPA,4.8
Ethical Hacker,Ethical Hacker,Freshworks,Chennai,Perform penetration testing on systems and applications. Identify and report security vulnerabilities. Work with dev teams to patch issues.,"Penetration Testing, Kali Linux, Metasploit, Burp Suite, Python, Networking, OWASP","Penetration Testing, Kali Linux, Metasploit, Burp Suite, Python, Networking, OWASP",2-5 years,10-18 LPA,3.8
Database Administrator,Database Administrator,TechCorp,Mumbai,Manage and optimize databases. Ensure data integrity and security. Perform backups and recovery. Monitor database performance.,"SQL, MySQL, PostgreSQL, Oracle, MongoDB, Performance Tuning, Backup, Linux","SQL, MySQL, PostgreSQL, Oracle, MongoDB, Performance Tuning, Backup, Linux",2-5 years,8-14 LPA,3.8
Java Developer,Java Developer,Zoho,Chennai,Design and build enterprise Java applications. Work with Spring Boot and microservices. Write unit tests and participate in code reviews.,"Java, Spring Boot, Microservices, SQL, Maven, Git, REST API, JUnit, Hibernate","Java, Spring Boot, Microservices, SQL, Maven, Git, REST API, JUnit, Hibernate",2-4 years,8-15 LPA,4.0
Embedded Systems Engineer,Embedded Systems Engineer,Zomato,Delhi,Develop firmware for embedded devices. Work with microcontrollers and real-time OS. Debug hardware issues. Write low-level C code.,"C, C++, Embedded C, RTOS, Microcontrollers, Python, Linux, Git, IoT","C, C++, Embedded C, RTOS, Microcontrollers, Python, Linux, Git, IoT",2-5 years,8-16 LPA,4.8
Growth Hacker,Growth Hacker,Zoho,Pune,Drive user acquisition and retention. Run experiments and A/B tests. Analyze funnel metrics. Work with product and marketing teams.,"Python, SQL, Analytics, A/B Testing, SEO, Email Marketing, Excel, Communication","Python, SQL, Analytics, A/B Testing, SEO, Email Marketing, Excel, Communication",2-4 years,8-14 LPA,3.3
Database Developer,Database Developer,Flipkart,Bangalore,Design and develop database schemas. Write complex queries and stored procedures. Optimize query performance. Work with application teams.,"SQL, PL/SQL, MySQL, PostgreSQL, MongoDB, Query Optimization, ETL, Python","SQL, PL/SQL, MySQL, PostgreSQL, MongoDB, Query Optimization, ETL, Python",2-4 years,7-12 LPA,4.4
Ethical Hacker,Ethical Hacker,Zoho,Bangalore,Perform penetration testing on systems and applications. Identify and report security vulnerabilities. Work with dev teams to patch issues.,"Penetration Testing, Kali Linux, Metasploit, Burp Suite, Python, Networking, OWASP","Penetration Testing, Kali Linux, Metasploit, Burp Suite, Python, Networking, OWASP",2-5 years,10-18 LPA,4.9
Robotics Engineer,Robotics Engineer,Flipkart,Pune,Design and program robotic systems. Work with ROS and sensor integration. Develop control algorithms. Test and validate robots.,"Python, C++, ROS, Control Systems, Sensor Fusion, SLAM, Linux, Computer Vision","Python, C++, ROS, Control Systems, Sensor Fusion, SLAM, Linux, Computer Vision",3-6 years,12-22 LPA,4.8
Mobile App Developer,Mobile App Developer,Zoho,Mumbai,Develop Android and iOS mobile applications. Work with React Native or Flutter. Integrate with backend APIs. Publish apps to stores.,"React Native, Flutter, Android, iOS, JavaScript, Dart, REST API, Git, Firebase","React Native, Flutter, Android, iOS, JavaScript, Dart, REST API, Git, Firebase",2-4 years,8-15 LPA,3.6
Security Engineer,Security Engineer,Accenture,Mumbai,Design and implement security systems. Conduct threat modeling. Develop security tools and scripts. Respond to security incidents.,"Python, AWS Security, IAM, Cryptography, Linux, Firewalls, DevSecOps, SIEM","Python, AWS Security, IAM, Cryptography, Linux, Firewalls, DevSecOps, SIEM",3-6 years,14-24 LPA,3.7
Frontend Developer,Frontend Developer,Google India,Noida,Build responsive and interactive web interfaces. Work with modern JavaScript frameworks. Optimize performance. Ensure cross-browser compatibility.,"JavaScript, React, Angular, Vue.js, HTML5, CSS3, TypeScript, Git, Webpack","JavaScript, React, Angular, Vue.js, HTML5, CSS3, TypeScript, Git, Webpack",1-3 years,6-12 LPA,4.9
Python Developer,Python Developer,Zoho,Chennai,Develop backend services using Python and Django/Flask. Write clean and maintainable code. Work in agile environment. Integrate with databases and APIs.,"Python, Django, Flask, REST API, SQL, Git, Docker, Linux, PostgreSQL, Redis","Python, Django, Flask, REST API, SQL, Git, Docker, Linux, PostgreSQL, Redis",1-3 years,6-12 LPA,4.1
Data Analyst,Data Analyst,TCS,Mumbai,Collect and interpret data to identify trends. Create dashboards and reports. Work with business teams to define KPIs. Use SQL and Excel for analysis.,"SQL, Excel, Power BI, Tableau, Python, Data Cleaning, Statistics, Google Analytics","SQL, Excel, Power BI, Tableau, Python, Data Cleaning, Statistics, Google Analytics",0-2 years,4-8 LPA,4.1
Cloud Engineer,Cloud Engineer,Paytm,Bangalore,Design and manage cloud infrastructure. Migrate on-premise systems to cloud. Optimize cloud costs. Ensure security and compliance.,"AWS, Azure, GCP, Terraform, Docker, Kubernetes, Python, Linux, Security","AWS, Azure, GCP, Terraform, Docker, Kubernetes, Python, Linux, Security",2-5 years,12-20 LPA,4.1
Full Stack Developer,Full Stack Developer,Accenture,Remote,Build web applications from frontend to backend. Work with React and Node.js. Design RESTful APIs. Collaborate with UI/UX designers.,"JavaScript, React, Node.js, HTML, CSS, SQL, MongoDB, Git, REST API, Express","JavaScript, React, Node.js, HTML, CSS, SQL, MongoDB, Git, REST API, Express",2-4 years,8-16 LPA,5.0
Bioinformatics Engineer,Bioinformatics Engineer,Accenture,Pune,Analyze genomic and biological data. Build pipelines for data processing. Apply ML to biological datasets. Collaborate with researchers.,"Python, R, Bioinformatics, Machine Learning, Linux, SQL, Statistics, NextFlow","Python, R, Bioinformatics, Machine Learning, Linux, SQL, Statistics, NextFlow",2-5 years,10-18 LPA,4.8
Security Engineer,Security Engineer,Microsoft India,Noida,Design and implement security systems. Conduct threat modeling. Develop security tools and scripts. Respond to security incidents.,"Python, AWS Security, IAM, Cryptography, Linux, Firewalls, DevSecOps, SIEM","Python, AWS Security, IAM, Cryptography, Linux, Firewalls, DevSecOps, SIEM",3-6 years,14-24 LPA,4.6
Database Developer,Database Developer,InfoSys,Bangalore,Design and develop database schemas. Write complex queries and stored procedures. Optimize query performance. Work with application teams.,"SQL, PL/SQL, MySQL, PostgreSQL, MongoDB, Query Optimization, ETL, Python","SQL, PL/SQL, MySQL, PostgreSQL, MongoDB, Query Optimization, ETL, Python",2-4 years,7-12 LPA,4.0
Risk Analyst,Risk Analyst,TechCorp,Chennai,Identify and assess business risks. Develop risk mitigation strategies. Analyze data to predict potential issues. Report to management.,"SQL, Python, Excel, Statistics, Risk Modeling, Power BI, Financial Analysis","SQL, Python, Excel, Statistics, Risk Modeling, Power BI, Financial Analysis",2-4 years,8-14 LPA,3.3
Scrum Master,Scrum Master,BYJU's,Delhi,Facilitate agile ceremonies. Remove impediments for the team. Coach teams on agile practices. Track sprint progress.,"Agile, Scrum, Jira, Confluence, Kanban, Communication, Leadership, Risk Management","Agile, Scrum, Jira, Confluence, Kanban, Communication, Leadership, Risk Management",2-5 years,10-18 LPA,3.9
Data Scientist,Data Scientist,Wipro,Remote,"Analyze large datasets to extract insights. Build predictive models using machine learning. Work with Python, R, and SQL to process data. Communicate findings to stakeholders.","Python, R, SQL, Machine Learning, TensorFlow, Keras, Pandas, NumPy, Data Visualization, Statistics","Python, R, SQL, Machine Learning, TensorFlow, Keras, Pandas, NumPy, Data Visualization, Statistics",2-4 years,8-15 LPA,4.2
iOS Developer,iOS Developer,Swiggy,Delhi,Build native iOS applications using Swift. Work with Xcode and Apple frameworks. Follow App Store guidelines. Integrate backend services.,"Swift, Objective-C, Xcode, UIKit, SwiftUI, REST API, CoreData, Git, Firebase","Swift, Objective-C, Xcode, UIKit, SwiftUI, REST API, CoreData, Git, Firebase",2-4 years,8-16 LPA,4.4
Blockchain Developer,Blockchain Developer,InfoSys,Bangalore,Develop smart contracts and decentralized applications. Work with Ethereum and Solidity. Integrate blockchain with backend systems.,"Solidity, Ethereum, Web3.js, Python, JavaScript, Smart Contracts, Cryptography, Git","Solidity, Ethereum, Web3.js, Python, JavaScript, Smart Contracts, Cryptography, Git",2-5 years,12-22 LPA,3.7
Data Science Manager,Data Science Manager,TechCorp,Pune,Lead a team of data scientists. Define data strategy. Oversee model development and deployment. Present insights to executives.,"Python, Machine Learning, Leadership, SQL, Communication, Strategy, Statistics, Tableau","Python, Machine Learning, Leadership, SQL, Communication, Strategy, Statistics, Tableau",6-10 years,25-45 LPA,4.8
Mobile App Developer,Mobile App Developer,Wipro,Bangalore,Develop Android and iOS mobile applications. Work with React Native or Flutter. Integrate with backend APIs. Publish apps to stores.,"React Native, Flutter, Android, iOS, JavaScript, Dart, REST API, Git, Firebase","React Native, Flutter, Android, iOS, JavaScript, Dart, REST API, Git, Firebase",2-4 years,8-15 LPA,4.6
Java Developer,Java Developer,Flipkart,Delhi,Design and build enterprise Java applications. Work with Spring Boot and microservices. Write unit tests and participate in code reviews.,"Java, Spring Boot, Microservices, SQL, Maven, Git, REST API, JUnit, Hibernate","Java, Spring Boot, Microservices, SQL, Maven, Git, REST API, JUnit, Hibernate",2-4 years,8-15 LPA,4.6
NLP Engineer,NLP Engineer,Freshworks,Noida,Develop natural language processing models. Build text classification and extraction systems. Work on chatbots and conversational AI.,"Python, NLP, BERT, SpaCy, NLTK, TensorFlow, Transformers, HuggingFace","Python, NLP, BERT, SpaCy, NLTK, TensorFlow, Transformers, HuggingFace",2-5 years,12-20 LPA,4.3
MLOps Engineer,MLOps Engineer,BYJU's,Hyderabad,Manage ML model lifecycle. Automate training and deployment pipelines. Monitor model performance in production. Maintain infrastructure.,"Python, Docker, Kubernetes, CI/CD, MLflow, Airflow, AWS SageMaker, Terraform","Python, Docker, Kubernetes, CI/CD, MLflow, Airflow, AWS SageMaker, Terraform",3-5 years,14-22 LPA,4.2
Full Stack Developer,Full Stack Developer,Freshworks,Remote,Build web applications from frontend to backend. Work with React and Node.js. Design RESTful APIs. Collaborate with UI/UX designers.,"JavaScript, React, Node.js, HTML, CSS, SQL, MongoDB, Git, REST API, Express","JavaScript, React, Node.js, HTML, CSS, SQL, MongoDB, Git, REST API, Express",2-4 years,8-16 LPA,3.1
Mobile App Developer,Mobile App Developer,Zomato,Remote,Develop Android and iOS mobile applications. Work with React Native or Flutter. Integrate with backend APIs. Publish apps to stores.,"React Native, Flutter, Android, iOS, JavaScript, Dart, REST API, Git, Firebase","React Native, Flutter, Android, iOS, JavaScript, Dart, REST API, Git, Firebase",2-4 years,8-15 LPA,4.8
Computer Vision Engineer,Computer Vision Engineer,InfoSys,Delhi,Build image recognition and object detection systems. Work with CNNs and deep learning. Deploy vision models to production.,"Python, OpenCV, PyTorch, TensorFlow, CNNs, YOLO, Image Processing, CUDA","Python, OpenCV, PyTorch, TensorFlow, CNNs, YOLO, Image Processing, CUDA",2-5 years,12-22 LPA,3.4
Growth Hacker,Growth Hacker,TechCorp,Remote,Drive user acquisition and retention. Run experiments and A/B tests. Analyze funnel metrics. Work with product and marketing teams.,"Python, SQL, Analytics, A/B Testing, SEO, Email Marketing, Excel, Communication","Python, SQL, Analytics, A/B Testing, SEO, Email Marketing, Excel, Communication",2-4 years,8-14 LPA,3.9
Full Stack Developer,Full Stack Developer,BYJU's,Mumbai,Build web applications from frontend to backend. Work with React and Node.js. Design RESTful APIs. Collaborate with UI/UX designers.,"JavaScript, React, Node.js, HTML, CSS, SQL, MongoDB, Git, REST API, Express","JavaScript, React, Node.js, HTML, CSS, SQL, MongoDB, Git, REST API, Express",2-4 years,8-16 LPA,3.5
Database Developer,Database Developer,TechCorp,Bangalore,Design and develop database schemas. Write complex queries and stored procedures. Optimize query performance. Work with application teams.,"SQL, PL/SQL, MySQL, PostgreSQL, MongoDB, Query Optimization, ETL, Python","SQL, PL/SQL, MySQL, PostgreSQL, MongoDB, Query Optimization, ETL, Python",2-4 years,7-12 LPA,4.3
Cybersecurity Analyst,Cybersecurity Analyst,InfoSys,Delhi,Monitor networks for security threats. Investigate incidents and vulnerabilities. Implement security policies and procedures. Conduct security audits.,"Network Security, SIEM, Firewalls, IDS/IPS, Vulnerability Assessment, Python, Linux, CISSP","Network Security, SIEM, Firewalls, IDS/IPS, Vulnerability Assessment, Python, Linux, CISSP",2-4 years,8-15 LPA,4.8
